episode,timestep,reward
2,4000,-823.3002
4,8000,-1179.8827
7,12000,-1135.2908
10,16000,-1062.4524
13,20000,-1289.6425
15,24000,-905.1454
17,28000,-1553.3499
19,32000,-1311.422
21,36000,-1345.6035
24,40000,-1271.6331
26,44000,-807.1576
28,48000,-1172.2717
30,52000,-1033.5664
34,56000,-1011.2145
36,60000,-698.9864
39,64000,-975.8602
42,68000,-1155.5909
44,72000,-1153.0427
47,76000,-917.1978
49,80000,-1239.606
52,84000,-624.2859
54,88000,-1382.0432
57,92000,-1119.304
59,96000,-1157.7749
62,100000,-989.0989
64,104000,-1216.854
66,108000,-1174.3613
69,112000,-1323.1657
72,116000,-834.2435
74,120000,-1154.7287
77,124000,-1120.3128
79,128000,-969.7471
83,132000,-717.7888
86,136000,-867.1687
88,140000,-1179.5812
90,144000,-947.7485
93,148000,-868.253
96,152000,-969.761
99,156000,-824.7899
102,160000,-975.241
104,164000,-638.706
107,168000,-818.1259
109,172000,-600.6258
112,176000,-924.4911
115,180000,-763.467
117,184000,-1085.2946
119,188000,-1049.1634
121,192000,-405.9514
123,196000,-1093.5431
125,200000,-874.1227
128,204000,-818.6402
130,208000,-977.8426
133,212000,-687.7441
135,216000,-739.3259
138,220000,-842.7337
140,224000,-680.0191
142,228000,-882.5792
144,232000,-929.7925
146,236000,-942.3811
148,240000,-934.6338
150,244000,-814.3467
152,248000,-666.3498
154,252000,-632.0646
156,256000,-1018.7466
158,260000,-876.7573
160,264000,-989.582
163,268000,-795.184
165,272000,-820.7538
167,276000,-670.7007
170,280000,-862.6534
172,284000,-532.9004
174,288000,-904.6151
177,292000,-816.6373
179,296000,-649.9812
181,300000,-908.4207
183,304000,-393.2483
186,308000,-641.7263
188,312000,-804.0215
190,316000,-932.4402
192,320000,-660.9837
194,324000,-839.0855
196,328000,-699.9714
198,332000,-664.4405
201,336000,-546.0085
203,340000,-763.1792
206,344000,-727.0901
208,348000,-682.7544
210,352000,-692.681
213,356000,-633.9888
215,360000,-609.645
217,364000,-575.2046
219,368000,-676.8577
222,372000,-472.3522
224,376000,-595.5822
226,380000,-506.4484
228,384000,-461.5331
230,388000,-543.2888
232,392000,-562.7878
234,396000,-540.1502
236,400000,-585.1219
238,404000,-500.7767
240,408000,-499.3651
242,412000,-448.3961
244,416000,-322.5621
246,420000,-481.4409
248,424000,-527.2137
250,428000,-470.1099
252,432000,-489.5833
254,436000,-541.7377
256,440000,-640.2875
258,444000,-304.9009
260,448000,-303.1274
262,452000,-388.9665
264,456000,-300.1965
267,460000,-356.1516
269,464000,-422.0158
271,468000,-310.2001
273,472000,-350.3951
275,476000,-308.7066
277,480000,-302.5305
279,484000,-247.374
281,488000,-338.0501
283,492000,-210.5805
285,496000,-284.6017
287,500000,-365.8408
289,504000,-401.9659
291,508000,-430.3827
293,512000,-303.0056
295,516000,-302.5974
297,520000,-325.9919
299,524000,-199.8006
301,528000,-308.3129
303,532000,-210.1991
305,536000,-132.4566
307,540000,-87.7448
309,544000,-181.8446
311,548000,-200.3694
313,552000,-137.4705
315,556000,-65.0479
317,560000,-64.2682
319,564000,-77.2624
321,568000,-3.7071
324,572000,-0.2109
326,576000,15.2636
328,580000,-124.6539
330,584000,-19.0263
332,588000,-105.879
334,592000,108.7559
336,596000,-70.0172
338,600000,-30.3699
340,604000,-30.5147
342,608000,42.9434
344,612000,-14.8143
346,616000,121.4378
348,620000,7.2596
350,624000,-75.262
352,628000,-41.1717
354,632000,-19.3174
356,636000,6.9025
359,640000,69.0878
361,644000,120.0398
363,648000,237.6146
365,652000,11.9411
367,656000,369.5263
369,660000,212.9118
