episode,timestep,reward
2,4000,2340.5373
4,8000,5392.542
6,12000,4944.5397
8,16000,4948.6163
10,20000,4615.0489
12,24000,3680.4467
14,28000,5575.1113
16,32000,4761.9716
18,36000,5226.9423
20,40000,4955.334
22,44000,4885.7447
24,48000,5549.7184
26,52000,6067.9884
28,56000,5305.0474
30,60000,7454.1179
32,64000,5967.3975
34,68000,6081.5318
36,72000,5804.2994
38,76000,6208.0229
40,80000,5235.1172
42,84000,6353.2175
44,88000,6559.3819
46,92000,8616.3986
48,96000,7570.8615
50,100000,6997.7914
52,104000,6640.1814
54,108000,6547.8294
56,112000,7310.7665
58,116000,7596.3177
60,120000,6256.2995
62,124000,7197.085
64,128000,7115.7483
66,132000,6544.9854
68,136000,6928.019
70,140000,6036.3414
72,144000,7431.242
74,148000,7138.9074
76,152000,8150.9644
78,156000,7863.5417
80,160000,5783.2561
82,164000,7566.5536
84,168000,7036.6074
86,172000,6613.6694
89,176000,6413.3223
