episode,timestep,reward
2,4000,-771.745
4,8000,1513.776
6,12000,1321.392
8,16000,-4358.2006
10,20000,117.6973
12,24000,1380.8826
14,28000,19.9357
16,32000,589.6691
18,36000,-572.7165
20,40000,-1817.0507
22,44000,-511.3919
24,48000,46.2879
26,52000,2607.9878
28,56000,691.2661
30,60000,2029.1845
32,64000,1057.3246
34,68000,2204.6969
36,72000,956.4431
38,76000,1857.5537
40,80000,-777.9754
42,84000,2746.6682
44,88000,2664.9849
46,92000,3008.4302
48,96000,2425.4158
50,100000,2425.4933
52,104000,3271.7918
54,108000,1380.4209
56,112000,2642.9243
58,116000,899.9904
60,120000,2011.3726
62,124000,2466.4082
64,128000,3075.0043
66,132000,3464.8475
68,136000,2523.6657
70,140000,2962.8438
72,144000,3194.4479
74,148000,3083.9284
76,152000,3801.7798
78,156000,3385.1396
80,160000,3576.5469
82,164000,2645.4423
84,168000,4360.0669
86,172000,2387.5595
88,176000,3658.7185
90,180000,4249.0376
92,184000,2639.6389
94,188000,4238.9513
96,192000,4036.9675
98,196000,3656.6168
100,200000,3721.7287
102,204000,5307.0004
104,208000,4129.2406
106,212000,3863.5538
108,216000,3914.9944
110,220000,3995.3709
112,224000,3724.2658
114,228000,2403.4915
116,232000,3644.2098
118,236000,3879.3822
120,240000,3611.0098
122,244000,4801.2923
124,248000,4861.4094
126,252000,4445.1377
128,256000,3957.2233
130,260000,4141.3494
132,264000,3314.6267
134,268000,3957.7998
136,272000,3143.8432
138,276000,4465.9237
140,280000,4842.8685
142,284000,4284.9937
144,288000,4221.076
146,292000,2874.8832
148,296000,3121.2236
150,300000,3701.716
152,304000,4975.6651
154,308000,3696.3234
156,312000,4300.3836
158,316000,4034.4755
160,320000,3699.6833
162,324000,3792.9098
164,328000,3189.9003
166,332000,3634.1647
168,336000,3769.2284
170,340000,4531.8439
173,344000,3515.1427
175,348000,3780.94
177,352000,3080.36
179,356000,4123.4406
181,360000,4025.224
183,364000,2558.4797
185,368000,3683.9451
187,372000,4312.5519
189,376000,4464.5221
191,380000,2026.4516
193,384000,4306.0124
195,388000,3795.6844
197,392000,4130.0911
199,396000,4559.123
201,400000,3626.6207
203,404000,3057.9822
205,408000,3675.0712
207,412000,4415.8311
209,416000,4017.228
211,420000,3752.193
213,424000,3663.218
215,428000,3415.7801
217,432000,4150.9862
220,436000,3241.7308
222,440000,3827.3705
224,444000,3265.3036
