episode,timestep,reward
2,4000,-1679.8914
4,8000,-2975.0967
6,12000,-3053.3715
8,16000,-3032.7484
10,20000,-3058.9078
12,24000,-2861.0211
14,28000,-3190.1073
16,32000,-2992.6474
18,36000,-3113.3175
20,40000,-3060.235
22,44000,-3029.5248
24,48000,-2932.4927
26,52000,-3005.5211
28,56000,-2922.8088
30,60000,-2943.8477
32,64000,-2937.4163
34,68000,-2883.1183
36,72000,-3008.8473
38,76000,-2989.3541
40,80000,-2924.3443
42,84000,-2921.6645
44,88000,-2938.3896
46,92000,-2973.5964
48,96000,-2900.8228
50,100000,-3012.8945
52,104000,-2859.8266
54,108000,-2893.2863
56,112000,-2906.8332
58,116000,-2899.6499
60,120000,-3025.546
62,124000,-2852.3258
64,128000,-2888.7372
66,132000,-2872.6292
68,136000,-2911.342
70,140000,-3027.0484
72,144000,-2814.0717
74,148000,-2887.0747
76,152000,-2888.0816
78,156000,-2922.6194
80,160000,-2786.0411
82,164000,-2818.2035
84,168000,-2847.4869
86,172000,-2837.4531
88,176000,-2883.1027
90,180000,-2830.3229
92,184000,-2858.4256
94,188000,-2882.3226
96,192000,-2867.9634
98,196000,-2827.8596
100,200000,-2760.8532
102,204000,-2784.7468
104,208000,-2807.2323
106,212000,-2865.6834
108,216000,-2871.6384
110,220000,-2809.9026
112,224000,-2849.1625
114,228000,-2832.4497
116,232000,-2846.797
118,236000,-2829.0407
120,240000,-2828.9902
122,244000,-2846.2736
124,248000,-2796.88
126,252000,-2775.2174
128,256000,-2757.786
130,260000,-2767.2874
132,264000,-2778.3374
134,268000,-2827.1392
136,272000,-2830.3643
138,276000,-2880.8807
140,280000,-2794.459
142,284000,-2808.4549
144,288000,-2802.3314
146,292000,-2765.8388
148,296000,-2796.1017
150,300000,-2742.6645
152,304000,-2741.1645
154,308000,-2763.9593
156,312000,-2789.5244
158,316000,-2852.8066
160,320000,-2820.194
162,324000,-2756.435
164,328000,-2784.558
166,332000,-2749.522
168,336000,-2752.131
170,340000,-2740.2747
172,344000,-2785.4464
174,348000,-2722.9092
176,352000,-2760.5594
178,356000,-2750.2478
180,360000,-2808.7246
182,364000,-2768.5858
184,368000,-2789.7388
186,372000,-2723.9168
188,376000,-2776.7409
190,380000,-2762.1116
192,384000,-2810.0918
194,388000,-2695.8612
196,392000,-2727.0358
198,396000,-2735.9717
200,400000,-2766.6558
202,404000,-2791.1043
204,408000,-2776.5343
206,412000,-2818.1103
208,416000,-2729.974
210,420000,-2758.8725
212,424000,-2719.1756
214,428000,-2698.1914
216,432000,-2733.738
218,436000,-2744.9113
220,440000,-2781.5266
222,444000,-2725.1391
224,448000,-2731.1856
226,452000,-2918.4693
228,456000,-2723.9597
230,460000,-2788.0312
232,464000,-2784.3591
234,468000,-2757.0741
236,472000,-2719.1527
238,476000,-2699.1224
240,480000,-2791.9966
242,484000,-2815.0955
244,488000,-2752.5319
246,492000,-2767.7696
248,496000,-2745.5373
250,500000,-2742.9247
252,504000,-2722.7942
254,508000,-2691.3294
256,512000,-2723.2863
258,516000,-2669.8356
260,520000,-2716.6304
262,524000,-2699.4138
264,528000,-2647.6377
266,532000,-2690.8571
268,536000,-2691.7874
270,540000,-2643.8721
272,544000,-2659.2278
274,548000,-2640.7903
276,552000,-2654.9733
278,556000,-2706.9521
280,560000,-2710.9175
282,564000,-2693.0128
284,568000,-2667.3221
286,572000,-2696.0016
288,576000,-2676.1966
290,580000,-2686.5024
292,584000,-2669.5793
294,588000,-2685.4194
296,592000,-2721.0433
298,596000,-2643.1308
300,600000,-2640.1376
302,604000,-2686.2117
304,608000,-2702.3421
306,612000,-2706.3925
308,616000,-2636.3039
310,620000,-2693.6563
312,624000,-2684.6392
314,628000,-2696.8664
316,632000,-2689.1832
318,636000,-2670.0137
320,640000,-2678.6106
322,644000,-2705.5427
324,648000,-2697.7451
326,652000,-2604.2922
328,656000,-2675.3675
330,660000,-2615.5486
332,664000,-2693.9919
334,668000,-2712.5984
336,672000,-2662.3081
338,676000,-2694.8864
340,680000,-2706.1135
342,684000,-2661.579
344,688000,-2662.4428
346,692000,-2689.3804
348,696000,-2686.9594
350,700000,-2617.4763
