episode,timestep,reward
3,4000,643.9796
6,8000,1265.6977
9,12000,1598.4216
11,16000,1967.7773
13,20000,898.4301
15,24000,2107.4473
17,28000,2102.3787
19,32000,2150.4976
22,36000,1341.9409
25,40000,1747.7621
27,44000,2386.7014
30,48000,1359.8069
33,52000,1097.2028
35,56000,2262.4802
37,60000,1404.4974
40,64000,1806.1739
43,68000,1257.7473
45,72000,2217.1501
48,76000,1293.8244
52,80000,877.4732
54,84000,1973.1017
56,88000,1940.0628
58,92000,1537.6843
60,96000,2423.5342
62,100000,2414.2854
64,104000,2089.8385
68,108000,1287.4903
70,112000,2408.3663
72,116000,1666.329
75,120000,1733.9186
77,124000,2410.204
79,128000,2458.1912
81,132000,2511.4859
83,136000,1522.8008
86,140000,2045.6676
89,144000,1025.6718
92,148000,1119.9066
95,152000,1555.6428
98,156000,1177.49
100,160000,2442.938
102,164000,2336.0359
104,168000,2278.1695
106,172000,2461.8164
108,176000,2030.4648
110,180000,2420.1552
112,184000,2477.1411
115,188000,1921.2767
117,192000,2026.9278
119,196000,-13543.554
121,200000,2588.9193
123,204000,2385.6428
125,208000,2503.1098
127,212000,1972.2358
129,216000,2268.87
131,220000,2359.4757
133,224000,2425.9533
135,228000,1563.4375
138,232000,1640.805
140,236000,1968.9704
143,240000,1894.4611
145,244000,2540.3667
148,248000,1754.9923
150,252000,1501.3462
152,256000,2407.8149
154,260000,2293.2029
156,264000,-274.346
158,268000,2597.3955
160,272000,2585.6214
162,276000,2365.5957
164,280000,2489.3016
166,284000,2275.9667
168,288000,2457.1327
170,292000,2646.8088
172,296000,2256.1884
174,300000,2421.7645
177,304000,2225.6875
179,308000,1586.4471
181,312000,2535.1196
184,316000,2083.6948
186,320000,2572.6695
188,324000,2653.9737
190,328000,2551.5515
192,332000,2569.2974
194,336000,1920.3518
196,340000,2638.5764
198,344000,2753.9683
200,348000,2289.1215
202,352000,2724.6433
204,356000,2759.0255
206,360000,2199.7125
208,364000,2691.6118
210,368000,2536.4667
212,372000,2535.9649
214,376000,2600.6251
216,380000,2603.4378
218,384000,2210.6812
220,388000,2553.9334
222,392000,2617.0612
224,396000,2633.9517
226,400000,2602.9564
228,404000,2571.1429
230,408000,2660.9182
232,412000,2849.5651
234,416000,2565.6813
236,420000,2656.4136
238,424000,2687.3298
240,428000,2229.0428
242,432000,2720.2564
244,436000,2631.6276
246,440000,2721.3656
248,444000,2766.6456
250,448000,2781.4553
252,452000,2700.5153
254,456000,2716.2094
256,460000,2784.9217
258,464000,2809.9292
260,468000,2752.6401
262,472000,2758.635
264,476000,2777.0871
266,480000,2578.6148
268,484000,2847.8709
270,488000,2703.2984
272,492000,2788.1082
274,496000,2222.4669
277,500000,1973.6301
279,504000,2783.5168
281,508000,2745.9076
283,512000,2786.6932
285,516000,2785.7286
287,520000,2787.8254
289,524000,2807.5948
291,528000,2707.7047
293,532000,2837.6161
295,536000,2769.2377
297,540000,2850.0698
299,544000,2815.5062
301,548000,2731.5361
303,552000,2829.3082
305,556000,2768.2698
307,560000,2882.7292
309,564000,2865.7461
311,568000,2970.5146
313,572000,2903.4901
315,576000,2964.3358
317,580000,2815.4134
319,584000,2773.2773
321,588000,2872.3521
323,592000,2841.7874
325,596000,2734.0937
327,600000,2872.5751
329,604000,2885.4718
331,608000,2912.4213
333,612000,2886.2291
335,616000,2902.7026
337,620000,2957.2592
339,624000,2900.6644
341,628000,2988.0517
343,632000,3006.8434
345,636000,2174.4327
347,640000,2970.5437
349,644000,2901.7083
351,648000,2998.1294
353,652000,2966.2865
355,656000,3078.3707
357,660000,2894.7871
359,664000,2948.4998
361,668000,2936.0718
363,672000,2910.2638
365,676000,2936.3629
367,680000,2942.4472
369,684000,2958.8336
371,688000,3128.3674
373,692000,3099.1739
375,696000,3040.7757
377,700000,3151.4673
379,704000,3050.3266
381,708000,2924.208
383,712000,2960.4605
385,716000,3112.4683
387,720000,2982.8021
389,724000,3069.1227
391,728000,3049.9914
393,732000,3148.1933
395,736000,3069.8746
397,740000,3004.918
399,744000,3164.4861
401,748000,3081.9443
403,752000,3108.2408
405,756000,3005.8169
407,760000,3104.5137
409,764000,3161.8108
411,768000,3177.9866
413,772000,3059.5157
415,776000,3104.5887
417,780000,3193.6879
419,784000,3151.8156
421,788000,3024.5764
423,792000,3186.8515
425,796000,3151.2133
427,800000,3114.9109
429,804000,3116.9804
431,808000,3146.5274
433,812000,3145.5651
435,816000,3148.9239
437,820000,3248.8003
439,824000,3195.1149
441,828000,3101.6106
443,832000,3188.2692
445,836000,3252.6146
447,840000,3151.0064
449,844000,3215.6586
451,848000,3321.6295
453,852000,3187.2621
455,856000,3226.0835
457,860000,3263.4577
459,864000,3197.6821
461,868000,3238.2719
463,872000,3193.1695
465,876000,3193.4933
467,880000,3111.9642
469,884000,3265.987
471,888000,3316.9748
474,892000,2741.0109
476,896000,3256.0443
478,900000,3351.3879
480,904000,3301.3371
482,908000,3220.6184
484,912000,3357.7717
486,916000,3313.5218
488,920000,3170.1735
490,924000,3263.3603
492,928000,3352.2264
494,932000,3204.9455
496,936000,3316.7123
498,940000,3251.4651
500,944000,3313.4867
502,948000,3267.9323
504,952000,3317.1767
506,956000,3298.8133
508,960000,3393.0384
510,964000,3237.5794
512,968000,3325.2775
514,972000,3315.7609
516,976000,3336.3869
518,980000,3413.7133
520,984000,3321.6747
522,988000,3409.1766
524,992000,3434.0581
526,996000,3357.5462
528,1000000,3242.3307
530,1004000,3286.7056
532,1008000,3338.9776
534,1012000,3329.4218
536,1016000,3402.2165
538,1020000,3318.1053
540,1024000,3408.0174
542,1028000,-8786.7868
544,1032000,3329.17
546,1036000,3380.1641
548,1040000,3291.9945
550,1044000,3293.6842
552,1048000,3353.0342
554,1052000,3332.9037
556,1056000,3416.2941
558,1060000,3271.7827
560,1064000,3447.1217
562,1068000,3314.7833
564,1072000,3427.1003
566,1076000,3399.8192
568,1080000,3338.7885
570,1084000,3403.5387
572,1088000,3316.8426
574,1092000,3416.4692
576,1096000,3398.0466
578,1100000,3393.1037
580,1104000,3408.4983
582,1108000,3401.3814
584,1112000,3382.8263
586,1116000,3479.4687
588,1120000,3442.3743
590,1124000,3404.9099
592,1128000,3442.9946
594,1132000,3366.235
596,1136000,3441.0534
598,1140000,3456.1999
600,1144000,3426.2481
602,1148000,3409.5756
604,1152000,3396.6294
606,1156000,3399.4692
608,1160000,3378.9119
610,1164000,3426.6607
612,1168000,3371.9883
614,1172000,3424.3087
616,1176000,3373.6639
618,1180000,3434.1174
620,1184000,3411.1577
622,1188000,3511.4751
624,1192000,3479.3093
626,1196000,3443.8539
628,1200000,3220.9944
630,1204000,3478.1788
632,1208000,3359.7057
634,1212000,3505.2991
636,1216000,3394.118
638,1220000,3497.0517
640,1224000,3462.5736
642,1228000,3382.3637
644,1232000,3535.0923
646,1236000,3497.1677
648,1240000,3438.314
650,1244000,3467.4842
652,1248000,3497.2348
654,1252000,3400.6714
656,1256000,3548.4126
658,1260000,3532.4304
660,1264000,3463.1221
662,1268000,3488.9218
