episode,timestep,reward
2,4000,5172.2136
6,8000,7506.9083
8,12000,10124.8295
10,16000,7116.1638
12,20000,9192.6057
14,24000,8289.846
16,28000,8299.2669
19,32000,6855.9148
21,36000,9315.1568
24,40000,7520.4895
26,44000,7650.1975
29,48000,8947.5692
32,52000,6999.6464
34,56000,8809.8389
36,60000,8063.4251
38,64000,10458.4807
40,68000,8979.3333
43,72000,7495.6915
46,76000,7501.7057
48,80000,8902.8943
50,84000,7485.6324
52,88000,8654.1278
54,92000,8081.8248
56,96000,8495.1099
58,100000,10509.9987
61,104000,7674.022
63,108000,8925.3931
66,112000,7182.5909
68,116000,10339.9356
71,120000,7332.4383
73,124000,7333.286
75,128000,7357.9995
78,132000,7740.8054
80,136000,7740.4052
82,140000,9696.5916
85,144000,7676.415
87,148000,8995.717
89,152000,9337.8067
91,156000,7907.616
93,160000,9557.3805
96,164000,8275.3822
98,168000,7370.6346
100,172000,8758.4849
102,176000,9129.4285
105,180000,7946.4343
107,184000,6023.4105
109,188000,8981.9861
111,192000,9432.5174
114,196000,8000.0276
116,200000,8892.1041
119,204000,7712.2842
121,208000,9315.9179
123,212000,8846.3929
125,216000,8365.9147
127,220000,10417.004
129,224000,10365.6465
132,228000,7162.994
134,232000,8032.3028
137,236000,6367.3041
140,240000,7431.5593
142,244000,8153.3736
144,248000,10557.3724
147,252000,7852.5223
149,256000,10475.5295
151,260000,9794.1676
153,264000,10259.9787
155,268000,8580.56
157,272000,9104.4965
159,276000,10229.5755
161,280000,8362.3944
163,284000,8499.6956
165,288000,9645.7204
168,292000,8230.653
170,296000,7404.7868
173,300000,7956.2221
176,304000,7679.8322
178,308000,7732.413
180,312000,9445.0291
182,316000,8043.874
184,320000,9286.099
186,324000,8775.2891
189,328000,7871.4656
191,332000,7486.1567
194,336000,7672.5727
196,340000,7092.395
198,344000,7930.5874
201,348000,8282.6452
205,352000,5656.8071
207,356000,5832.9591
210,360000,8203.7952
212,364000,6869.5585
214,368000,8375.7782
216,372000,9594.1229
219,376000,8431.8373
222,380000,7162.3508
224,384000,6443.2711
226,388000,9212.4732
229,392000,9301.7886
232,396000,5591.4358
234,400000,9606.7485
237,404000,6600.8081
239,408000,8080.9154
241,412000,9959.4651
243,416000,8011.1389
246,420000,8463.1092
248,424000,7118.5275
250,428000,9989.4218
252,432000,10446.4875
254,436000,7660.7801
257,440000,9044.8444
259,444000,8715.6847
261,448000,7831.9214
263,452000,10418.4332
265,456000,10457.1042
267,460000,9286.7814
270,464000,9694.8627
272,468000,8835.594
274,472000,8040.9333
277,476000,8691.5884
279,480000,6379.3172
281,484000,9755.405
284,488000,8753.5773
286,492000,7993.8488
288,496000,8608.202
290,500000,7468.9501
293,504000,8966.7003
295,508000,8578.1824
298,512000,7352.5579
301,516000,6232.1912
303,520000,10699.417
305,524000,9711.4262
307,528000,9433.5043
309,532000,6715.6709
312,536000,7300.6123
314,540000,9011.5965
317,544000,7948.3743
319,548000,9125.3578
321,552000,10474.6349
323,556000,9805.0018
325,560000,8864.391
328,564000,9673.7541
330,568000,9433.0004
332,572000,9717.3478
334,576000,8847.4936
337,580000,6453.014
340,584000,6222.1573
342,588000,8169.5086
344,592000,7714.3948
347,596000,9383.6422
349,600000,8124.6595
351,604000,9132.487
353,608000,9031.6603
355,612000,8046.8551
358,616000,8688.8121
360,620000,7289.5915
363,624000,7466.1754
366,628000,7224.918
368,632000,8968.7576
370,636000,9958.7864
372,640000,7155.3911
375,644000,8581.1743
377,648000,8215.8994
379,652000,9452.1822
381,656000,10498.0213
384,660000,5984.5983
387,664000,8615.0086
389,668000,6468.2357
392,672000,7207.8577
394,676000,7522.4514
397,680000,8073.2083
399,684000,7252.3021
402,688000,5272.9234
404,692000,7613.2758
406,696000,7328.6065
408,700000,8766.6678
411,704000,9430.6643
413,708000,10585.2883
416,712000,6722.1628
418,716000,10348.3985
