episode,timestep,reward
2,4000,678.156
4,8000,1715.1901
6,12000,1847.22
8,16000,1820.6309
10,20000,1739.5058
12,24000,1706.6783
14,28000,1804.9734
16,32000,1676.8859
18,36000,1780.6848
20,40000,1664.5259
23,44000,7325.6986
25,48000,2312.3273
27,52000,1670.9933
29,56000,2001.3116
31,60000,1958.8574
33,64000,1809.1541
35,68000,1755.8954
37,72000,1712.4605
39,76000,13097.817
41,80000,10844.8786
43,84000,2135.2639
45,88000,12353.3004
47,92000,1611.6091
49,96000,1831.4918
51,100000,1675.0434
53,104000,1732.2395
55,108000,1794.5515
57,112000,1828.8393
59,116000,10475.8628
61,120000,1744.7966
63,124000,11604.5031
66,128000,9156.7039
68,132000,1881.934
70,136000,1857.6577
72,140000,10949.8284
74,144000,1631.8614
77,148000,19887.1881
79,152000,1986.1724
81,156000,1800.4746
83,160000,9587.2779
