episode,timestep,reward
3,4000,-1414.5881
5,8000,-2101.1878
8,12000,-1422.5479
10,16000,-1510.8188
12,20000,-8242.6714
14,24000,-1522.6363
16,28000,-1631.8539
18,32000,-47713.7449
20,36000,-1998.7806
22,40000,-1708.8748
24,44000,-1740.0493
27,48000,-17458.046
29,52000,-13892.1638
31,56000,-1632.4614
33,60000,-1776.6121
36,64000,-1353.0088
38,68000,-1827.5955
40,72000,-869.3338
43,76000,-1187.6283
45,80000,-1290.6965
47,84000,-1193.8073
49,88000,-2104.9358
51,92000,-22748.3004
54,96000,-10435.7234
56,100000,-1664.9569
59,104000,-8519.1544
61,108000,-1482.2539
64,112000,-1016.431
66,116000,-1819.4616
68,120000,-1249.3982
71,124000,-1360.6593
73,128000,-2314.8508
75,132000,-3738.3437
77,136000,-1225.033
80,140000,-1350.5047
82,144000,-1512.846
84,148000,-17706.7546
86,152000,-1786.9763
88,156000,-1052.6499
91,160000,-27850.3941
93,164000,-1795.9862
95,168000,-661.8789
97,172000,-2255.9493
100,176000,-1744.6699
103,180000,-30750.0537
105,184000,-1783.5267
107,188000,-1932.9932
109,192000,-1983.7711
111,196000,-2548.831
113,200000,-1672.2267
115,204000,-1656.2912
117,208000,-1780.6225
119,212000,-1762.0518
121,216000,-1298.9581
124,220000,-819.5425
126,224000,-1058.2668
128,228000,-1634.2825
130,232000,-1534.8708
133,236000,-1339.222
135,240000,-1212.9994
138,244000,-953.0685
140,248000,-1733.7171
142,252000,-1931.1026
145,256000,-1542.4358
147,260000,-1093.3747
149,264000,-990.7706
151,268000,-2038.0042
154,272000,-1348.8992
156,276000,-1238.8285
158,280000,-1484.382
160,284000,-2035.4531
162,288000,-2160.2517
165,292000,-1716.5135
167,296000,-1690.4796
169,300000,-1632.9311
172,304000,-1192.3924
174,308000,-1603.6954
176,312000,-833.4151
179,316000,-1767.8888
181,320000,-1604.5667
183,324000,-2462.5304
186,328000,-1642.735
188,332000,-1592.2314
190,336000,-1895.3814
192,340000,-1928.8003
194,344000,-1288.1428
196,348000,-1161.8068
198,352000,-1130.6958
201,356000,-1340.1851
203,360000,-1245.8849
205,364000,-1301.1299
208,368000,-1115.3607
211,372000,-1484.7233
213,376000,-2546.6837
215,380000,-1653.2022
217,384000,-1917.8793
220,388000,-1461.0542
222,392000,-1250.2161
224,396000,-967.4463
226,400000,-1817.0254
228,404000,-1630.101
231,408000,-1572.8018
233,412000,-1387.9427
235,416000,-1571.8155
237,420000,-1923.5081
239,424000,-2108.0403
242,428000,-1415.8528
244,432000,-1764.8679
246,436000,-51193.6953
248,440000,-5333.8945
251,444000,-1356.4753
253,448000,-1520.8857
256,452000,-1350.721
258,456000,-1232.1659
261,460000,-1603.8186
263,464000,-1653.7852
265,468000,-1605.0572
268,472000,-1424.9296
270,476000,-1744.1645
272,480000,-1929.6484
275,484000,-1452.2173
277,488000,-1572.529
280,492000,-1444.0719
282,496000,-718.2788
284,500000,-1807.769
286,504000,-1134.8239
288,508000,-3719.6466
290,512000,-2240.6177
292,516000,-1831.5035
294,520000,-1996.8011
296,524000,-1726.1469
299,528000,-1551.9985
301,532000,-2029.5805
303,536000,-23816.6594
305,540000,-390.8032
307,544000,-1509.227
310,548000,-1618.3495
313,552000,-4387.8578
315,556000,-1532.2749
318,560000,-1374.1223
321,564000,-1249.0553
323,568000,-1793.0482
325,572000,-1910.8476
327,576000,-33822.5199
330,580000,-1324.4155
332,584000,-1657.2818
334,588000,-1494.4321
337,592000,-1877.8512
339,596000,-13330.7044
341,600000,-2187.0143
343,604000,-1169.9445
345,608000,-2038.8859
348,612000,-1534.1591
350,616000,-1750.0246
352,620000,-1019.8364
355,624000,-1811.9104
357,628000,-1948.4414
359,632000,-1683.8222
362,636000,-1047.1924
364,640000,-1922.412
367,644000,-22988.5676
369,648000,-1551.2484
371,652000,-12737.9788
374,656000,-1180.441
376,660000,-1744.1687
378,664000,-1364.0005
380,668000,-1533.4822
382,672000,-1791.6789
384,676000,-1543.1359
387,680000,-1398.538
389,684000,-1548.8946
391,688000,-21547.0632
393,692000,-1312.3871
396,696000,-1073.851
398,700000,-1608.2277
400,704000,-1242.136
402,708000,-42392.4558
405,712000,-1441.8663
407,716000,-1724.3768
409,720000,-1380.3909
412,724000,-1090.283
414,728000,-1144.4806
418,732000,-1186.6862
420,736000,-1552.8306
422,740000,-675.696
424,744000,-2950.8428
426,748000,-19310.3118
428,752000,-1679.1371
431,756000,-4077.868
433,760000,-1299.1587
435,764000,-1350.6674
437,768000,-2196.5296
439,772000,-1591.7425
441,776000,-1541.1891
444,780000,-12021.4722
446,784000,-1698.107
448,788000,-1127.142
451,792000,-1728.1181
453,796000,-1378.7635
456,800000,-1468.1877
458,804000,-1645.7485
460,808000,-1526.8014
463,812000,-20565.099
466,816000,-795.6231
468,820000,-1117.1362
470,824000,-1973.395
472,828000,-2167.3767
474,832000,-2052.906
477,836000,-1461.438
480,840000,-1230.5001
482,844000,-1407.7525
484,848000,-7961.0172
487,852000,-1727.7911
489,856000,-1418.0816
492,860000,-1078.6207
494,864000,-1536.1999
496,868000,-20833.6368
498,872000,-1232.2776
501,876000,-1894.3711
503,880000,-1657.4764
505,884000,-1222.939
508,888000,-1813.6334
510,892000,-2112.8422
512,896000,-2248.9801
514,900000,-1614.9472
516,904000,-4733.6895
519,908000,-1100.0238
521,912000,-1454.4873
523,916000,-1775.3786
526,920000,-1123.429
528,924000,-1375.9304
530,928000,-2021.9533
532,932000,-2186.589
534,936000,-2010.5359
