episode,timestep,reward
583,1156000,3935.0738
585,1160000,3917.7187
587,1164000,3928.2861
589,1168000,3942.3443
591,1172000,3890.2464
593,1176000,3904.3934
595,1180000,3910.3049
597,1184000,3984.5225
599,1188000,3912.7824
601,1192000,1878.734
603,1196000,3865.1653
605,1200000,3934.8038
607,1204000,3730.3381
609,1208000,3949.8856
611,1212000,-17692.5771
613,1216000,3945.5044
615,1220000,3853.3627
617,1224000,3918.6109
619,1228000,3933.4046
621,1232000,3911.0159
623,1236000,3930.6224
625,1240000,3927.949
627,1244000,3980.8026
629,1248000,3908.426
631,1252000,3982.9463
633,1256000,3868.2469
635,1260000,3959.316
637,1264000,3922.8565
639,1268000,3585.7626
641,1272000,3912.5384
643,1276000,3838.96
645,1280000,3851.7135
647,1284000,4000.9555
649,1288000,3885.2554
651,1292000,3976.2689
653,1296000,-19069.1005
655,1300000,3929.8878
657,1304000,4001.6466
659,1308000,3897.8209
661,1312000,3868.1724
664,1316000,-3942.118
666,1320000,3930.5259
668,1324000,3984.5708
670,1328000,3863.8169
672,1332000,4024.8114
674,1336000,3952.2143
676,1340000,3943.5833
678,1344000,3752.9378
680,1348000,3887.5259
682,1352000,3220.9754
684,1356000,3925.0424
686,1360000,3985.0577
688,1364000,-13161.074
690,1368000,2859.8175
692,1372000,3993.0443
694,1376000,3954.2102
696,1380000,3949.6775
698,1384000,3982.5247
700,1388000,3841.3796
702,1392000,3891.0841
704,1396000,3775.7942
706,1400000,-14697.7353
708,1404000,4039.9092
710,1408000,3894.9153
712,1412000,3924.7456
714,1416000,3739.0557
716,1420000,3928.903
718,1424000,-623.4901
720,1428000,3881.0994
722,1432000,-8539.2923
724,1436000,-18400.4433
726,1440000,3938.2499
728,1444000,3769.5229
730,1448000,3924.2846
732,1452000,3801.3891
734,1456000,3871.2327
736,1460000,3960.7495
738,1464000,3984.3301
740,1468000,3784.0019
742,1472000,3721.9354
744,1476000,4014.0867
746,1480000,3808.1107
748,1484000,3689.7088
750,1488000,3897.1445
752,1492000,3962.6838
754,1496000,3754.4203
756,1500000,3837.9379
758,1504000,-14423.902
760,1508000,3818.8214
762,1512000,-4327.303
764,1516000,4037.5255
766,1520000,4102.7806
768,1524000,4031.87
770,1528000,3950.3617
772,1532000,3863.4651
774,1536000,3885.1411
776,1540000,3999.6712
778,1544000,4027.291
780,1548000,4007.6372
782,1552000,3989.4419
784,1556000,3941.1212
786,1560000,4010.9293
788,1564000,-11225.8376
790,1568000,3875.8931
792,1572000,3891.9889
794,1576000,3948.3673
796,1580000,3943.7109
798,1584000,3914.159
800,1588000,-49480.8869
802,1592000,3876.3182
804,1596000,4031.2913
806,1600000,3995.4041
808,1604000,4026.9134
810,1608000,3963.6777
812,1612000,3995.7451
814,1616000,3932.6992
816,1620000,3632.8393
818,1624000,4019.9333
820,1628000,3965.5552
822,1632000,3957.5284
824,1636000,3700.2738
826,1640000,3921.3401
828,1644000,4005.1009
830,1648000,4043.9945
832,1652000,3918.0506
834,1656000,3926.8666
836,1660000,3955.3603
838,1664000,3954.6855
840,1668000,3911.3775
842,1672000,4050.6906
844,1676000,4007.1697
847,1680000,-5503.2897
849,1684000,3866.2134
851,1688000,3970.7685
853,1692000,3794.6068
855,1696000,3985.8872
857,1700000,3928.1957
859,1704000,4024.9956
861,1708000,4016.2667
863,1712000,4013.9786
865,1716000,3865.7701
867,1720000,3892.0519
869,1724000,4006.3363
871,1728000,4037.8211
873,1732000,4134.3216
875,1736000,4004.2739
877,1740000,4007.5044
879,1744000,4037.8296
881,1748000,3991.772
883,1752000,3989.6152
885,1756000,4014.5742
887,1760000,4001.954
889,1764000,4069.2809
891,1768000,4038.8822
893,1772000,4114.8856
895,1776000,3844.0068
897,1780000,4085.0431
