episode,timestep,reward
2,4000,2414.0246
5,8000,5681.7325
7,12000,4461.8751
9,16000,5898.5548
11,20000,5682.7804
13,24000,6539.2349
15,28000,5429.062
18,32000,5420.3109
20,36000,5373.2445
22,40000,4952.4339
24,44000,6616.4344
26,48000,5741.0365
29,52000,5034.8016
31,56000,5290.4008
33,60000,5430.2125
36,64000,4425.8259
38,68000,5687.4119
41,72000,4439.645
44,76000,4103.4666
46,80000,6168.9495
48,84000,6021.2103
50,88000,5148.1426
52,92000,5039.4506
55,96000,4727.1715
57,100000,5085.6594
60,104000,3902.7141
62,108000,6151.9215
64,112000,6059.9874
67,116000,4531.1326
69,120000,5858.9059
71,124000,6131.8727
73,128000,6100.4587
75,132000,5263.9864
78,136000,5271.5738
81,140000,4482.682
83,144000,4669.45
85,148000,5221.2883
87,152000,6451.1048
90,156000,5647.5534
92,160000,6290.758
95,164000,3978.1131
97,168000,5980.8747
99,172000,6464.1433
101,176000,5135.7005
103,180000,5994.2319
105,184000,6448.9062
108,188000,4914.9991
110,192000,3844.9993
113,196000,5456.897
115,200000,4559.2431
117,204000,5640.8808
120,208000,5327.2348
122,212000,5549.3695
124,216000,6176.4219
126,220000,5730.986
128,224000,5038.5574
130,228000,4668.3812
132,232000,5742.57
135,236000,5395.2899
138,240000,4106.8087
140,244000,5917.7399
142,248000,5496.3181
145,252000,4866.9051
147,256000,5257.5357
149,260000,4771.3178
151,264000,6590.2127
153,268000,5150.6898
156,272000,5475.8584
159,276000,3876.7697
161,280000,4776.5788
164,284000,5278.3658
166,288000,6132.3704
168,292000,5430.2897
170,296000,5262.4583
172,300000,5259.4625
175,304000,4590.1195
177,308000,6271.053
179,312000,5308.6221
181,316000,5872.1581
183,320000,5691.1504
187,324000,4475.1014
189,328000,6315.3449
191,332000,5238.4112
194,336000,4157.4473
196,340000,5172.1994
199,344000,5472.9804
201,348000,6216.6083
203,352000,4879.1294
206,356000,3476.7646
208,360000,5624.8944
211,364000,4676.0594
213,368000,6725.7311
216,372000,4681.4689
218,376000,6049.1007
220,380000,6226.5144
222,384000,4546.7491
224,388000,4582.586
226,392000,6421.2262
228,396000,6087.9573
232,400000,3983.9658
234,404000,5982.4787
236,408000,6456.8971
238,412000,6128.7642
240,416000,4470.1673
243,420000,4290.4662
246,424000,4590.6671
248,428000,4966.8147
250,432000,5155.1573
253,436000,4458.373
255,440000,4079.8223
258,444000,4463.1919
261,448000,4928.8956
263,452000,6163.3471
266,456000,3499.4049
268,460000,6531.5861
270,464000,5536.621
272,468000,5977.6239
274,472000,5408.9013
276,476000,5672.5877
279,480000,5124.0247
281,484000,6523.6143
283,488000,4558.1078
286,492000,4021.6482
289,496000,4941.5899
292,500000,4834.1553
294,504000,5772.9309
296,508000,5490.1214
298,512000,4607.8487
301,516000,4999.9638
