episode,timestep,reward
2,4000,1438.7828
4,8000,3614.9522
6,12000,3913.4144
8,16000,3666.7824
10,20000,3100.8892
13,24000,3406.9818
15,28000,3478.6525
17,32000,3955.77
19,36000,3104.7237
21,40000,2889.7248
23,44000,2828.3012
25,48000,4037.1469
27,52000,3492.2539
30,56000,2911.1382
32,60000,3823.1105
34,64000,3447.8426
36,68000,3175.1062
38,72000,3442.5087
41,76000,3481.0049
43,80000,2340.9038
45,84000,4091.4707
47,88000,3344.2596
49,92000,3178.0527
51,96000,3167.8376
54,100000,3407.031
56,104000,3288.9171
58,108000,4139.8584
60,112000,4142.4085
62,116000,2990.6913
64,120000,3121.074
67,124000,2663.2679
69,128000,3665.0379
71,132000,3552.0794
73,136000,3030.4052
76,140000,3043.1785
78,144000,3113.7971
81,148000,2061.1109
83,152000,3828.0441
85,156000,2615.1343
88,160000,3049.6475
90,164000,3204.5959
93,168000,2632.0514
95,172000,3217.4616
97,176000,2547.2991
99,180000,3464.7099
101,184000,3059.6687
104,188000,2567.2332
106,192000,2945.8349
108,196000,2808.815
111,200000,3588.031
113,204000,3054.3277
116,208000,2255.599
118,212000,3550.8691
121,216000,1868.3623
123,220000,3072.5895
125,224000,2018.0257
128,228000,2537.9192
130,232000,3925.0444
132,236000,2815.5099
134,240000,3293.5655
137,244000,2634.6607
139,248000,3496.1201
141,252000,2147.7242
143,256000,3424.4285
145,260000,3949.0908
147,264000,3678.215
150,268000,2397.6028
152,272000,3029.2708
154,276000,2942.6926
157,280000,2823.4627
159,284000,4307.7813
161,288000,2150.6406
164,292000,3052.8011
166,296000,2794.9223
168,300000,2887.2191
170,304000,3004.4722
172,308000,2410.7969
174,312000,3053.3758
176,316000,2473.0408
178,320000,2038.239
181,324000,2184.8662
183,328000,2209.7238
185,332000,3676.7257
187,336000,3271.6998
189,340000,2678.4424
191,344000,1161.9136
193,348000,3374.7331
196,352000,3433.3221
198,356000,3445.5407
200,360000,2449.2023
202,364000,3281.3426
204,368000,1342.6939
207,372000,2943.6436
209,376000,3377.07
211,380000,2716.6048
213,384000,4066.9144
215,388000,3428.0349
217,392000,2954.3497
220,396000,2663.9293
223,400000,2277.1422
225,404000,1918.2509
227,408000,2175.5505
230,412000,2858.7467
232,416000,3626.2018
234,420000,3325.3491
237,424000,2746.8591
239,428000,3467.1092
242,432000,2628.753
244,436000,2190.807
246,440000,4081.2655
248,444000,2763.8464
250,448000,3670.5127
252,452000,3996.8372
255,456000,2854.6299
