episode,timestep,reward
2,4000,3623.1588
4,8000,7811.9966
6,12000,7767.8014
8,16000,5666.8494
10,20000,8431.6857
12,24000,6175.0356
14,28000,7197.7214
16,32000,6372.002
18,36000,7618.4557
20,40000,7160.3593
22,44000,7100.0166
24,48000,7907.65
26,52000,7033.9161
28,56000,7025.911
30,60000,7085.5632
32,64000,8022.4538
34,68000,6613.3102
36,72000,7561.9863
38,76000,7277.9998
40,80000,6464.2478
42,84000,7304.6075
44,88000,7386.6949
46,92000,6996.8152
48,96000,7154.2868
51,100000,7978.6607
53,104000,7615.3978
55,108000,6526.0064
57,112000,7465.58
59,116000,7444.1158
61,120000,6894.0167
63,124000,8056.6688
65,128000,8882.8084
67,132000,7064.1658
69,136000,7239.1514
71,140000,7310.368
73,144000,7725.6329
75,148000,6895.7782
77,152000,7488.9424
79,156000,7556.0197
81,160000,7443.7785
83,164000,6733.0213
85,168000,7602.8304
87,172000,7484.4366
89,176000,6699.8052
91,180000,7053.2467
94,184000,6480.1329
96,188000,7013.134
98,192000,7955.0021
100,196000,6998.1348
102,200000,8557.7997
104,204000,7649.8314
106,208000,7180.1805
108,212000,8728.8807
110,216000,6801.5826
112,220000,7943.512
114,224000,6517.7266
116,228000,8246.0524
118,232000,6802.6104
120,236000,7910.0887
122,240000,7214.1874
124,244000,6884.7498
126,248000,7445.3056
128,252000,7333.7348
130,256000,7615.2079
132,260000,7582.0727
134,264000,5910.6941
136,268000,7635.2029
138,272000,8234.9176
140,276000,7265.9727
142,280000,7074.0886
144,284000,7064.504
147,288000,7407.479
149,292000,6943.2423
151,296000,7202.8453
153,300000,7467.0381
155,304000,7068.867
157,308000,7556.4884
159,312000,6783.818
161,316000,7217.8821
163,320000,9043.8453
165,324000,7170.9711
167,328000,6868.8235
169,332000,7634.1818
171,336000,7832.1639
173,340000,6164.7509
175,344000,6444.0585
178,348000,6158.3834
180,352000,6345.8211
183,356000,6325.8881
185,360000,8505.719
187,364000,6750.3441
189,368000,7866.9489
191,372000,7220.5305
193,376000,6978.6453
195,380000,6711.2412
198,384000,5880.4698
200,388000,6980.0264
202,392000,7086.1797
204,396000,6298.9126
206,400000,6419.854
208,404000,6028.8878
211,408000,6116.597
213,412000,7201.0462
215,416000,5160.1349
218,420000,5957.8612
220,424000,7070.2501
222,428000,6400.7296
225,432000,5303.216
227,436000,6465.392
