episode,timestep,reward
2,4000,1207.0428
6,8000,1682.536
8,12000,1424.9616
10,16000,1934.4826
13,20000,1416.0723
16,24000,1495.0794
19,28000,-13011.9672
21,32000,2681.8867
23,36000,1611.8731
25,40000,2682.7124
27,44000,2359.7476
29,48000,2300.8877
32,52000,1420.3922
35,56000,2033.3384
37,60000,-1912.9514
40,64000,864.971
42,68000,2531.7334
45,72000,2060.8989
49,76000,986.0382
51,80000,1605.6027
53,84000,2163.8165
55,88000,2265.0073
58,92000,2124.2399
61,96000,1688.8701
63,100000,2410.2018
65,104000,2559.5066
68,108000,1844.9193
70,112000,2569.793
72,116000,2735.3425
74,120000,2628.2145
76,124000,2781.0537
79,128000,1622.0441
81,132000,2574.8741
83,136000,2595.2137
85,140000,2134.5553
87,144000,2581.6774
89,148000,2409.9396
91,152000,2548.18
95,156000,1672.8938
98,160000,905.6261
100,164000,2266.1153
103,168000,2050.5269
105,172000,2580.8235
108,176000,1480.9491
110,180000,2755.9648
112,184000,2659.9196
115,188000,2057.1433
117,192000,1962.5768
119,196000,2409.7977
121,200000,2603.11
123,204000,2949.5661
127,208000,1741.1088
131,212000,1171.6248
133,216000,2733.4019
135,220000,2880.4567
139,224000,1293.4296
142,228000,1253.91
144,232000,2914.3423
147,236000,1715.6846
149,240000,2675.4317
151,244000,2866.6722
154,248000,1788.4977
156,252000,2122.6167
158,256000,2948.7753
160,260000,3041.2848
162,264000,2652.5522
164,268000,2718.5846
167,272000,2246.2222
169,276000,2573.3126
171,280000,2850.6237
173,284000,2342.632
175,288000,2277.5212
177,292000,2919.1867
179,296000,2770.2525
182,300000,2171.248
184,304000,2600.3064
187,308000,2093.6141
189,312000,2760.6861
191,316000,2393.3753
193,320000,2357.7671
196,324000,2268.6179
199,328000,2039.8503
201,332000,2505.0372
204,336000,1103.294
206,340000,2982.6172
208,344000,3010.5234
210,348000,3002.3416
213,352000,2345.7711
216,356000,1778.6197
218,360000,1876.4936
220,364000,3010.8278
223,368000,2232.0653
225,372000,2426.8946
227,376000,2896.6786
230,380000,2275.5024
232,384000,2487.6061
235,388000,2058.8701
237,392000,1830.3554
240,396000,1932.3471
243,400000,2143.5044
245,404000,1997.0368
247,408000,2792.1884
249,412000,2248.7748
252,416000,1673.7541
254,420000,-1841.8297
256,424000,3185.8041
259,428000,2564.0997
261,432000,2814.3528
264,436000,1913.887
266,440000,1705.9835
268,444000,2198.7984
270,448000,2629.9729
273,452000,2273.4296
275,456000,2028.1357
278,460000,2233.3224
280,464000,2746.2635
283,468000,2148.3945
285,472000,3237.541
287,476000,2981.534
289,480000,2886.7384
291,484000,2341.1975
293,488000,2937.287
295,492000,2462.5629
297,496000,3141.5338
299,500000,2463.5678
301,504000,3180.9846
303,508000,3178.7303
305,512000,2971.0136
308,516000,2886.1515
310,520000,2353.6861
312,524000,2746.9557
314,528000,3196.3604
316,532000,3121.8888
318,536000,3158.4072
320,540000,3171.8151
322,544000,3133.8456
324,548000,3174.3013
326,552000,3172.8683
328,556000,3093.6994
330,560000,3251.9964
332,564000,3135.1749
334,568000,3200.1729
336,572000,3151.4452
338,576000,3207.6277
340,580000,2650.8581
342,584000,3162.8034
344,588000,3128.8871
346,592000,3160.1358
348,596000,3069.2301
350,600000,3128.9201
352,604000,3205.5408
354,608000,3139.0097
356,612000,3226.3588
358,616000,3042.3626
360,620000,3128.425
362,624000,3192.6618
364,628000,3287.0468
366,632000,3174.4192
